Estimate,Std. Error,Adjusted SE,z value,Pr(>|z|),,
<dbl>,<dbl>,<dbl>,<dbl>,<dbl>,,
(Intercept),4.38E+00,1.62E+00,1.63E+00,2.6970371,0.0069959,
Conductivity,-9.70E-05,1.62E-04,1.62E-04,0.5973052,0.5503036,
Depth,5.14E-01,1.04E-01,1.04E-01,4.9226652,0.0000009,*
Oxygen,2.89E-01,1.74E-01,1.74E-01,1.6559901,0.0977238,
Temperature,1.71E-01,6.87E-02,6.87E-02,2.4818939,0.0130686,*
Conductivity:Temperature,-3.16E-06,8.00E-06,8.00E-06,0.3953671,0.692572,
Oxygen:Temperature,-1.83E-03,7.30E-03,7.31E-03,0.2508522,0.8019284,
Depth:Temperature,1.30E-03,5.36E-03,5.37E-03,0.2424026,0.8084682,
